code,name,series,element,tagname,wishlist,gen,owner,fought,frame,custom_frame,3D,morph,glow,bg,attack,defense,speed,hp,moves,level
or3bao,Rose Cookie,Cookie Run,light,cookie,1,1225,N/A,N/A,0,N/A,false,false,N/A,N/A,53,60,43,344,"Mim, Tem",1
or38e3,Lucy,Guardian Tales,earth,N/A,1,713,N/A,N/A,0,N/A,false,false,N/A,N/A,41,53,57,242,"For, Spi",1
or36s3,Linea,Shironeko Project,void,N/A,3,301,N/A,N/A,0,N/A,false,false,N/A,N/A,43,53,43,263,"Hel, Tim",1
or3342,Mayvin,Tales of Zestiria the Cross,ice,wifey,0,48,N/A,N/A,0,N/A,false,false,N/A,N/A,41,56,41,240,"Ven, Cos",1
or31dg,Hrist,Record of Ragnarok,void,N/A,8,508,N/A,N/A,0,N/A,false,false,N/A,N/A,44,54,54,252,"Eth, Dra",1
or2zib,Griseo,Honkai Impact 3rd,light,N/A,34,949,N/A,N/A,0,N/A,false,false,N/A,N/A,46,82,42,263,"Ser, Pur",1
or2u4t,Rika Honjou,High-Rise Invasion,void,N/A,4,1532,N/A,N/A,0,N/A,false,false,N/A,N/A,50,57,73,250,"Ban, Rot",1
or2rsk,Diantha,Granblue Fantasy,wind,N/A,2,319,N/A,N/A,0,N/A,false,false,N/A,N/A,47,49,44,283,"Rot, Spi",1
or2p6d,Kliff Undersn,Guilty Gear,fire,N/A,1,1990,N/A,N/A,0,N/A,false,false,N/A,N/A,51,44,42,269,"Ser, Vis",1
or2iip,You ZhangJing,Nine Percent,earth,N/A,0,1650,N/A,N/A,0,N/A,false,false,N/A,N/A,57,52,41,258,"For, Spi",1
or2eyw,Nee Moriyama,Blue Exorcist,ice,N/A,2,84,N/A,N/A,0,N/A,false,false,N/A,N/A,58,47,42,271,"Roc, Vis",1
or28v6,Inksie,Independent VTubers,metal,N/A,4,1590,N/A,N/A,0,N/A,false,false,N/A,N/A,45,42,50,291,"Sou, Dru",1
or26lh,Jean,Claymore,fire,N/A,3,1177,N/A,N/A,0,N/A,false,false,N/A,N/A,42,40,60,246,"Bod, Alm",1
or24w6,Moeri,EIEN Project,void,N/A,0,1801,N/A,N/A,0,N/A,false,false,N/A,N/A,40,78,41,264,"Sha, Har",1
or21rb,Jean,Genshin Impact,fire,genshin,303,1580,N/A,N/A,0,N/A,false,false,N/A,N/A,55,54,53,256,"Vis, Bod",1
or1zx5,Nier,NieR Replicant,ice,N/A,22,743,N/A,N/A,0,N/A,false,false,N/A,N/A,54,45,44,254,"Eth, Hol",1
or1y6m,Yaya,Bloodivores,fire,N/A,2,575,N/A,N/A,0,N/A,false,false,N/A,N/A,40,51,53,257,"Tim, Spi",1
or1ndx,Hifumi Benibana,Iwa Kakeru! Sport Climbing Girls,fire,N/A,0,936,N/A,N/A,0,N/A,false,false,N/A,N/A,44,54,51,271,"Eth, Ser",1
or1lpc,Emilio,Dream Meister and the Recollected Black Fairy,wood,burn,1,517,N/A,N/A,0,N/A,false,false,N/A,N/A,69,49,57,300,"Tim, Rot",1
or1k03,Marshall Lee,Adventure Time,light,N/A,47,1788,N/A,N/A,0,N/A,false,false,N/A,N/A,41,82,51,245,"Bod, Tri",1
or1ibm,Private,Madagascar,ice,N/A,9,1819,N/A,N/A,0,N/A,false,false,N/A,N/A,58,43,60,267,"Bel, Roc",1
or1ges,Maehwa Baek,The Blood of the Butterfly,wood,N/A,4,1251,N/A,N/A,0,N/A,false,false,N/A,N/A,54,47,47,259,"Wil, Ref",1
or1epz,Wadanohara,Wadanohara and the Great Blue Sea,wood,N/A,29,766,N/A,N/A,0,N/A,false,false,N/A,N/A,55,52,50,242,"For, Ban",1
or1cqa,Tina,My Isekai Life: I Gained a Second Character Class and Became the Strongest Sage in the World,light,N/A,0,993,N/A,N/A,0,N/A,false,false,N/A,N/A,48,46,59,247,"Ref, Bel",1
or188j,Yasu,Show By Rock!!,light,N/A,1,784,N/A,N/A,0,N/A,false,false,N/A,N/A,58,79,44,256,"Wil, Ban",1
or0zs5,Azusawa Kohane,Project SEKAI,wood,N/A,111,1864,N/A,N/A,0,N/A,false,false,N/A,N/A,55,54,57,236,"Out, Dra",1
or0yaq,Erina,Guardian Tales,wind,N/A,1,1915,N/A,N/A,0,N/A,false,false,N/A,N/A,56,56,42,288,"Spi, Rot",1
or0wpp,Ikkaku Madarame,Bleach,wood,N/A,10,822,N/A,N/A,0,N/A,false,false,N/A,N/A,46,61,63,230,"Dra, Ban",1
oafs7v,Akeno Himejima,High School DxD,ice,ev3d,2250,296,N/A,N/A,0,N/A,true,false,N/A,N/A,50,55,76,252,"Ven, Dra",1
or0v4x,Echidna,Valkyrie Crusade,earth,N/A,0,676,N/A,N/A,0,N/A,false,false,N/A,N/A,50,57,53,231,"Mys, Mim",1
or0qjl,Mithrun,Delicious in Dungeon,light,N/A,27,951,N/A,N/A,0,N/A,false,false,N/A,N/A,46,42,58,273,"Sha, Dra",1
or0n67,Momo Akanegakubo,Food Wars! Shokugeki no Soma,ice,N/A,1,1143,N/A,N/A,0,N/A,false,false,N/A,N/A,64,40,53,268,"Dru, Hol",1
or0lgc,Dimitri,Fire Emblem: Three Houses,fire,N/A,90,1959,N/A,N/A,0,N/A,false,false,N/A,N/A,53,46,58,230,"Bel, Cos",1
or0jvy,Brioche Salgret Mille Leteche,Sweet Reincarnation,metal,N/A,0,629,N/A,N/A,0,N/A,false,false,N/A,N/A,40,48,52,250,"Und, Bli",1
or0igg,Lennox,Promise of Wizard,wind,N/A,6,1397,N/A,N/A,0,N/A,false,false,N/A,N/A,59,47,58,254,"Tri, Bel",1
or0gb6,Vox Akuma,Nijisanji EN,ice,3d,314,864,N/A,N/A,0,N/A,false,false,N/A,N/A,68,58,59,238,"Spi, Sha",1
or09cs,Shin Yuna,Mercenary Enrollment,wind,N/A,12,1722,N/A,N/A,0,N/A,false,false,N/A,N/A,54,53,43,253,"Dra, Rot",1
or07wd,M1887,Girls Frontline,ice,N/A,6,588,N/A,N/A,0,N/A,false,false,N/A,N/A,53,58,42,238,"Und, Mys",1
or064q,D. Violet,Skullgirls,light,N/A,10,1271,N/A,N/A,0,N/A,false,false,N/A,N/A,51,58,45,235,"Dra, Eth",1
or046d,Shiori Yoshino,The Betrayal Knows My Name,wind,N/A,2,1244,N/A,N/A,0,N/A,false,false,N/A,N/A,59,49,47,279,"Bel, Sou",1
or01pk,Marco Diaz,Star vs. the Forces of Evil,wind,N/A,22,702,N/A,N/A,0,N/A,false,false,N/A,N/A,59,56,41,241,"For, Rol",1
or008q,Kurumi Kitamura,Sound! Euphonium,wind,N/A,5,1827,N/A,N/A,0,N/A,false,false,N/A,N/A,47,45,58,286,"Out, Ban",1
oqzyrk,Baili Jin,Baili Jin Among Mortals,light,N/A,5,1345,N/A,N/A,0,N/A,false,false,N/A,N/A,55,58,48,231,"Nec, Ban",1
oqzxfp,Chungha,SOLOIST,fire,N/A,35,1530,N/A,N/A,0,N/A,false,false,N/A,N/A,41,54,52,245,"Ato, Wil",1
oqzsck,Souma Kanzaki,Ensemble Stars!,wood,N/A,35,473,N/A,N/A,0,N/A,false,false,N/A,N/A,49,48,49,303,"Mys, Tau",1
oqzqlo,Nikki,Love Nikki,light,N/A,25,591,N/A,N/A,0,N/A,false,false,N/A,N/A,58,44,45,233,"Ref, Bli",1
oqzlpu,Xu Fu,Fate/Grand Order,ice,N/A,5,638,N/A,N/A,0,N/A,false,false,N/A,N/A,50,56,56,298,"Roc, Hyp",1
oqzc8a,Tanya,Mortal Kombat,metal,N/A,2,1116,N/A,N/A,0,N/A,false,false,N/A,N/A,72,40,67,254,"Rol, Alm",1
oqzagc,Patroka,Xenoblade Chronicles,light,N/A,0,583,N/A,N/A,0,N/A,false,false,N/A,N/A,48,52,46,327,"Eth, Und",1
oqms66,Shizuru Hoshino,Princess Connect! Re Dive,void,N/A,9,1778,N/A,N/A,0,N/A,false,false,N/A,N/A,58,44,59,240,"Mim, Wil",1
oqmp3j,Astolfo,Fate/Apocrypha,wind,N/A,379,594,N/A,N/A,0,N/A,false,false,N/A,N/A,43,55,52,301,"Ser, Nec",1
oqm515,Zoya,Alchemy Stars,metal,N/A,1,1135,N/A,N/A,0,N/A,false,false,N/A,N/A,43,53,47,248,"Hol, Roc",1
oqlzad,Stain,My Hero Academia,wood,N/A,11,1559,N/A,N/A,0,N/A,false,false,N/A,N/A,62,46,57,234,"Sha, Rot",1
oqlg7x,Dwight Schrute,The Office,ice,N/A,30,935,N/A,N/A,0,N/A,false,false,N/A,N/A,53,49,58,270,"Vor, Vis",1
oqlc9w,Gunner,Valkyrie Crusade,void,N/A,0,1767,N/A,N/A,0,N/A,false,false,N/A,N/A,46,40,55,268,"Dra, Spi",1
