code,name,series,element,tagname,wishlist,gen,owner,fought,frame,custom_frame,3D,morph,glow,bg,attack,defense,speed,hp,moves,level
oeyv04,Saramir,Soccer Spirits,metal,low,2,95,N/A,N/A,0,N/A,false,false,N/A,N/A,45,60,47,238,"For, Tim",1
oeyq57,Kyoungyoon,DKZ,wind,burn,0,1057,N/A,N/A,0,N/A,false,false,N/A,N/A,44,66,45,328,"Hel, Ref",1
oeyoud,Gugu,To Your Eternity,ice,burn,8,707,N/A,N/A,0,N/A,false,false,N/A,N/A,54,46,47,270,"Dra, Eth",1
oeyo0b,Woman A,The Disastrous Life of Saiki K.,wind,burn,0,1366,N/A,N/A,0,N/A,false,false,N/A,N/A,54,50,52,233,"Mim, Alm",1
oeyjm7,Francis Scott Key Fitzgerald,Bungou Stray Dogs,void,burn,5,1279,N/A,N/A,0,N/A,false,false,N/A,N/A,41,43,45,233,"Bli, Tri",1
oeyimb,Azuma,Natsume's Book of Friends,earth,burn,0,1323,N/A,N/A,0,N/A,false,false,N/A,N/A,57,47,52,275,"Tau, Rol",1
oeyh51,Diluc,Genshin Impact,wood,genshit,585,879,N/A,N/A,0,N/A,false,false,N/A,N/A,47,43,46,242,"Sou, Bel",1
oeyg14,Patricia Nash,The Mystic Archives of Dantalian,fire,burn,0,709,N/A,N/A,0,N/A,false,false,N/A,N/A,58,50,42,273,"Dru, Eth",1
oeydg2,Zhuge Liang,Valiant Force,void,burn,1,1470,N/A,N/A,0,N/A,false,false,N/A,N/A,55,53,48,261,"Rot, Tri",1
oeybkn,Mario Natsume,Penguindrum,void,burn,0,550,N/A,N/A,0,N/A,false,false,N/A,N/A,52,41,45,237,"Cos, Tri",1
oeyanw,Amamiya Sora,Voice Actors,fire,burn,2,890,N/A,N/A,0,N/A,false,false,N/A,N/A,44,56,59,241,"Sou, Bel",1
oey9jz,Yayoi Inuzuka,Kurenai,wood,burn,0,1766,N/A,N/A,0,N/A,false,false,N/A,N/A,69,42,56,264,"Sou, Hol",1
oey8gx,Hello Mimmy,Sanrio,fire,burn,8,1826,N/A,N/A,0,N/A,false,false,N/A,N/A,53,51,53,262,"Vis, Vor",1
oey7fl,Top Model Luluca,Epic Seven,fire,burn,1,1103,N/A,N/A,0,N/A,false,false,N/A,N/A,54,58,47,238,"Vor, Rot",1
oey6d3,Venonat,Pokemon Generation I,void,burn,1,799,N/A,N/A,0,N/A,false,false,N/A,N/A,55,49,44,232,"Out, Ref",1
oey5fd,Apricot,Valkyrie Crusade,wood,burn,1,700,N/A,N/A,0,N/A,false,false,N/A,N/A,41,58,41,296,"Ser, Tau",1
oey4i9,Seiji Takamori,Super Lovers,wood,burn,0,884,N/A,N/A,0,N/A,false,false,N/A,N/A,60,45,40,249,"Sha, Out",1
oey35g,Tsuyu Asui,My Hero Academia,earth,mha,95,806,N/A,N/A,0,N/A,false,false,N/A,N/A,79,57,43,255,"Alm, Sou",1
oey367,Seishu Inui,Tokyo Revengers,void,tokyo,62,664,N/A,N/A,0,N/A,false,false,N/A,N/A,47,55,40,258,"Ref, Dra",1
oey2p2,Mrs. Bradley,Fullmetal Alchemist,metal,burn,1,771,N/A,N/A,0,N/A,false,false,N/A,N/A,56,40,62,269,"Tau, Cos",1
oey14j,Summer Rose,RWBY,wood,N/A,7,448,N/A,N/A,0,N/A,false,false,N/A,N/A,53,74,59,277,"Dra, Tim",1
oexwqi,Starlia Lese,Ragna Crimson,ice,s,11,1943,N/A,N/A,0,N/A,false,false,N/A,N/A,61,45,57,268,"Eth, Cos",1
oex3z9,Bai Qingqing,Beauty and the Beasts,fire,N/A,1,855,N/A,N/A,0,N/A,false,false,N/A,N/A,40,56,44,277,"Dra, Bel",1
oewgp2,Winter Soldier,Marvel Cinematic Universe,light,s,28,1741,N/A,N/A,0,N/A,false,false,N/A,N/A,73,45,56,235,"Und, Tri",1
nrp5w5,Emiko,Valiant Force,earth,N/A,2,546,N/A,N/A,0,N/A,false,false,N/A,N/A,46,52,48,309,"Hel, Pur",1
oewdr2,Su Yan,Martial Peak,wind,burn,13,1883,N/A,N/A,0,N/A,false,false,N/A,N/A,43,48,52,268,"Dru, Tem",1
oew94b,Real,Ergo Proxy,fire,burn,3,612,N/A,N/A,0,N/A,false,false,N/A,N/A,52,53,58,246,"Bli, Hol",1
oew2ay,Icas,Granblue Fantasy,metal,burn,0,635,N/A,N/A,0,N/A,false,false,N/A,N/A,54,60,56,274,"For, Ato",1
oew0f1,Wang Yijin,Bonbon Girls 303,light,burn,1,596,N/A,N/A,0,N/A,false,false,N/A,N/A,47,56,43,282,"Ato, Hel",1
oevv9o,Meatwad,Aqua Teen Hunger Force,light,burn,11,692,N/A,N/A,0,N/A,false,false,N/A,N/A,58,53,42,246,"Mim, Pur",1
oevqd2,Sajuna Inui,My Dress-Up Darling,metal,fav,115,1207,N/A,N/A,0,N/A,false,false,N/A,N/A,45,52,49,234,"Spi, Eth",1
oevg8h,Kayano Onodera,Classroom of the Elite,earth,low,1,97,N/A,N/A,0,N/A,false,false,N/A,N/A,49,58,57,265,"Sou, Out",1
oeven2,Grandfather Takanashi,"Love, Chunibyo & Other Delusions!",fire,burn,1,613,N/A,N/A,0,N/A,false,false,N/A,N/A,60,51,49,237,"Pur, Roc",1
oevc9n,Minerva,Princess Connect! Re Dive,fire,burn,1,501,N/A,N/A,0,N/A,false,false,N/A,N/A,56,44,53,290,"Out, Ref",1
oevaon,Gisela,King From Now On!,wood,burn,0,1549,N/A,N/A,0,N/A,false,false,N/A,N/A,69,54,49,257,"Bli, Sha",1
